Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Pace,Best Pace,Training Stress Score®,Total Strokes,Avg. Swolf,Avg Stroke Rate,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time
Open Water Swimming,2026-02-08 16:58:31,false,"San Francisco Open Water Swimming","1,589","439","00:41:47","141","182","3.3","2:38","1:27","0.0","1301","66","31","-14","55.4","No","00:02:46.7","4","73.4","00:39:52","00:41:47"
Open Water Swimming,2026-02-05 15:51:32,false,"San Francisco County Open Water Swimming","1,385","407","00:37:14","143","169","3.4","2:41","1:20","0.0","1158","67","31","-7","55.4","No","00:10:42","3","80.6","00:36:02","00:37:14"
Open Water Swimming,2026-02-03 15:52:42,false,"San Francisco Open Water Swimming","1,174","208","00:32:18","111","131","1.6","2:45","1:24","0.0","915","66","28","-10","55.4","No","00:05:22.1","3","80.6","00:30:49","00:32:18"
Open Water Swimming,2026-02-02 14:57:36,false,"San Francisco Open Water Swimming","1,514","208","00:40:31","102","144","1.4","2:41","1:26","0.0","1240","66","30","-6","55.4","No","00:00:23.9","4","78.8","00:38:49","00:40:31"
Open Water Swimming,2026-02-01 17:18:13,false,"San Francisco County Open Water Swimming","1,038","300","00:28:52","138","163","3.0","2:47","1:21","0.0","844","68","29","-11","53.6","No","00:01:01.3","3","75.2","00:26:45","00:28:52"
Open Water Swimming,2026-01-30 16:49:38,false,"San Francisco County Open Water Swimming","1,048","213","00:28:50","117","135","2.0","2:45","1:18","0.0","846","67","29","-4","53.6","No","00:01:13.8","3","75.2","00:26:54","00:28:50"
Open Water Swimming,2026-01-29 16:30:42,false,"San Francisco County Open Water Swimming","1,458","258","00:40:25","113","138","2.0","2:46","1:32","0.0","1276","69","31","-4","53.6","No","00:12:50","3","77.0","00:38:31","00:40:25"
Open Water Swimming,2026-01-27 17:01:30,false,"San Francisco County Open Water Swimming","1,391","321","00:37:04","129","155","2.6","2:40","1:20","0.0","1195","67","32","-9","53.6","No","00:11:10","3","78.8","00:36:05","00:37:04"
Open Water Swimming,2026-01-26 16:51:44,false,"San Francisco Open Water Swimming","1,218","208","00:34:08","110","136","2.0","2:48","1:28","0.0","1044","69","30","-13","53.6","No","00:06:35.9","3","73.4","00:32:57","00:34:08"
Open Water Swimming,2026-01-25 16:32:41,false,"San Francisco Open Water Swimming","1,117","184","00:32:33","105","137","1.4","2:55","1:25","0.0","949","71","29","-4","53.6","No","00:03:54.8","3","71.6","00:30:24","00:32:33"
